ID,TIME,LIKE_COUNT,COMMENTS
2686525432363087784_48968267266,1634478809,4,"['“Life is full of happiness and tears; be strong and have faith. On a deeper level you are already complete. When you realize that, there is a playful, joyous energy behind what you do.”']"
2681517545006016836_48968267266,1633881823,4,"['@zandyric nah blud, im just a robot', 'Anymore context?']"
2619165959470345559_48968267266,1626448934,3,"['test mean emoji 😡🤬🤬😡😡😠', 'I dont like you', 'you smell']"
2619165839655721585_48968267266,1626448920,3,"['your awesome', 'I love this', 'this is so cool']"
2619035903389342654_48968267266,1626433431,6,[]
2735828625387355940_48968267266,1640356208,3,[]
